knowledge_area,area_abstract,area_url,degree,course_number,course_name,course_uoc,course_url,course_outline,faculty,School,course term,timetable,teacher
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6441,Security Engineering and Cyber Security,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6441/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Introduction to computer security, prevention of cybercrime and cyberterror. The principles of engineering secure systems. How to think like a security engineer.Engineering secure systems. How security fails. Security analysis and design. Private and public cryptographic protocols. Introduction to information security: Confidentiality, Integrity, Authentication, Non-repudiation, hashing, signatures, bits of security. Physical security, social engineering, sniffing, intrusion detection, prevention and response, firewalls, honeypots. Overview of vulnerabilities and exploits including areas such as buffer overflow, inter overflow, heap attacks, Return-Oriented-Programming, heap attacks. Principles of risk and security. Case studies drawn from the history of hacking and from current events.Additional topics drawn from recent developments and current research in applied computer security.There are numerous formative assessments and activities throughout the course to provide feedback and learning opportunities. These do not directly contribute to your final grade but are expected to be used to provide evidence of your capabilities in your portfolio.A programming background is not required but it will be helpful in some of the more applied topics. Students need a keen devious and analytical mind. To get the most from this course students will need to engage in independent study and research and be able to act as independent self-directed learners.",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP6441.html,arrangement:T2:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6443,Web Application Security and Testing,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6443/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,Web applications are currently the predominant source of software vulnerabilities exploited in in online attacks. There is a growing need and growing demand for web programmers to be security aware.This course covers the main types of web application vulnerabilities and current best practice professional coding and testing practices to be able to successfully develop secure web applications.The course covers OWASP vulnerabilities cross site scripting browser security model and weaknesses Injection attacks DNS Man in the middle Data leakage Spoofing UI and Social vulnerabilities Assurance and Testing Standards. Course coverage will be constantly updated over time to reflect emerging vulnerabilities and practices.A programming background is not required but it will be helpful in some of the more applied topics. Students need a keen devious and analytical mind. To get the most from this course students will need to engage in independent study and research and be able to act as independent self directed learners.,Faculty of Engineering,School of Computer Science and Engineering,Term 1,http://timetable.unsw.edu.au/2019/COMP6443.html,arrangement:T1:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6445,Digital Forensics,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6445/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course addresses the skills and knowledge needed by first responders to a discovered cyber breech, as well as law enforcement and criminal justice.This course covers both forensic theory / professional practice, and looking at the underlying engineering of hiding, finding, interpreting and responding to traces. Students will use of standard forensic tools to extract carve and analyse data as well as learning the low level technical skills and knowledge underlying them. By the end of the course students should be able to write and analyse simple forensic tools as well as being able to use them.The course covers Memory Forensics, Disc Forensics Network, Device Forensics, Stealth Techniques, Anti-forensics, Professional Forensic Practice, chain of custody, records etc, Logging. Course coverage will be constantly updated over time to reflect emerging forensic practice and methods.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP6445.html,arrangement:T3:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6447,System and Software Security Assessment,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6447/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course looks at cyber attack and defence. Students learn how to assess and identify vulnerabilities and how vulnerabilities are exploited. Students learn the principles and theory of exploitation, the common security models, and how approaches to exploitation and defence have evolved over time.Students from this course will engage in war games competitions,  analyse real world case studies of vulnerabilities in complex software used on widespread systems, and gain an understanding of the technical process of finding and fixing low-level software vulnerabilities and also of the economics and causal factors involved with their real world use.The course covers techniques and skills including vulnerability classes, Source code auditing Fuzzing Security Bugs Software Security Assurance Taint Analysis Memory Corruption, Overflows, Return Oriented Programming  Course coverage will be constantly updated over time to reflect emerging attack and defence methods. There are numerous formative assessments and activities throughout the course to provide feedback and learning opportunities.  These do not directly contribute to your final grade but are expected to be used to provide evidence of your capabilities in your portfolio. Students need a keen devious and analytical mind.  To get the most from this course students will need to engage in independent study and research and be able to act as independent self directed learners.",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP6447.html,arrangement:T2:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6448,Security Engineering Masterclass,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6448/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,This is an occasional course that will involve a visiting expert in the security area giving a series of lectures and workshops on an advanced topic in cyber security. The precise timing and topics depend on the visitor. The course will be run in intensive mode.,Faculty of Engineering,School of Computer Science and Engineering,Summer Term,http://timetable.unsw.edu.au/2019/COMP6448.html,arrangement:U1B:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6449,Security Engineering Professional Practice,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6449/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"The professional practice of cyber security. Students learn how to be effective and ethical cyber security professionals.Students from this course will engage in real world case studies and analyse and critique effective professional responses to situations and challenges. Guest lecturers from Industry will give a number of different views into the world of cyber security professionals , the key issues they face, and current best practice.Coverage includes Standards, Audits, Organisational Analysis and Testing, Best Practice, Ethics, Legal, Professionalism. Professional issues and best practice in cybercrime, censorship terrorism, IP, mandatory data breech disclosure, privacy, risk assessment, institutional response to risk, leadership, organisational change management and culture change, Professional Practice and professionalism. Course coverage will be regularly updated over time to reflect emerging best practice in the security engineering profession. ",Faculty of Engineering,School of Computer Science and Engineering,None,http://timetable.unsw.edu.au/2019/COMP6449.html,None
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6451,Cryptocurrency and Distributed Ledger Technologies,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6451/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"The course considers the requirements for electronic payment systems and how these requirements are realised using distributed ledger technologies. The technical ideas studied include the key cryptographic constructs, economic incentive mechanisms and distributed algorithms underpinning cryptocurrencies such as Bitcoin and Ethereum. The concept of smart contract will be introduced, and the course aims to develop a basic facility with programming smart contracts on one cryptocurrency platform. The course also aims to introduce students to the broader context of the range of alternate designs for distributed ledger technologies, the range of potential applications for these technologies, and the socio-economic, ethical and legal dimensions of their use. ",Faculty of Engineering,School of Computer Science and Engineering,"Summer Term, Term 3",http://timetable.unsw.edu.au/2019/COMP6451.html,arrangement:U1:School Office T3:Prof R  Van der Meyden 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6452,Software Architecture for Blockchain Applications,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6452/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course addresses the knowledge that is needed in order to build applications based on blockchain technology, by offering an architectural view of software systems that make beneficial use of it. It provides guidance on assessing the suitability of blockchain, on the roles blockchain can play in an architecture, on designing blockchain applications, and on assessing different architecture designs and tradeoffs. It also serves as a reference on blockchain design patterns and design analysis, and refers to practical examples of blockchain-based applications.The course covers the following:ullia general introduction to the topic and to existing blockchain platforms including Bitcoin, Ethereum, and Hyperledger Fabric, and offers examples of blockchain-based applications;/lilithe functional aspects of software architecture are covered, describing the main roles blockchain can play in an architecture, as well as its potential suitability and design process;/lilinon-functional aspects of blockchain applications, which are often cross-cutting concerns including cost estimation, performance, security;/li/ulReal-world use cases will be covered, offering additional insights from a practical perspective.",Faculty of Engineering,School of Computer Science and Engineering,Term 1,http://timetable.unsw.edu.au/2019/COMP6452.html,arrangement:T1:Dr IM Weber 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6714,Information Retrieval and Web Search,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6714/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,      Information Retrieval:  a Document modeling b Inverted index construction and compression cVector space model and ranking methods d Probabilistic and language models e Evaluation methods f Relevance feedback and query expansion.Web Search:  a Web search engine architecture b Web crawling and indexing c Web structure and usage analytics.The lecture materials will be complemented by projects and assignments.    ,Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP6714.html,arrangement:T3:Prof W  Wang 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6733,Internet of Things Experimental Design Studio,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6733/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Internet of Things IoT will play a key role in the next frontier of computing. The new course will provide an experimental approach to cover fundamental design principles behind building IoT applications, with hands-on experience with a popular end-to-end IoT platform.Topics covered will include a selection from: IoT technology and services, IoT system architecture, Low Power communications Bluetooth Low Energy and 6LoWPAN and security issues, sensors and sensor data smoothing and filtering, light-weight in-situ machine learning and data fusion, inertial sensing, activity recognition and fitness morning, voice-based stress level sensing, biometric authentication, anonymity, cloud services for IoT. This course assumes familiarity with a high level programming language such as Java and Python AND a low level programming language such as C.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP6733.html,arrangement:T3:Apro W  Hu 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6741,Parameterized and Exact Computation,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6741/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"The course focuses on algorithms for exactly solving NP-hard computational problems. Since no polynomial time algorithm is known for any of these problems, the running time of the algorithms will have a super-polynomial dependence on the input size or some other parameter of the input.The first part presents algorithmic techniques to solve NP-hard problems provably faster than brute-force in the worst case, such as branching algorithms, dynamic programming across subsets, inclusion-exclusion, local search, and measure &amp; conquer. We will also see lower bounds for algorithms and how to rule out certain running times assuming the Strong Exponential Time Hypothesis.Whereas the first part presents ""default"" algorithms that one would use without knowing much about the instances one is about to solve, the second part acknowledges that the complexity of an instance does not only depend on its size n. A parameter k is associated with each instance and the parameterized complexity framework aims at designing fixed-parameter algorithms whose running times are fk*polyn for a computable function f. This gives efficient algorithms for small values of the parameter obtained via techniques such as branching, colour coding, iterative compression, and kernelization preprocessing. We will also see problems that are not fixed-parameter tractable and not kernelizable to polynomial kernels subject to complexity-theoretic assumptions.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP6741.html,arrangement:T3:Dr S  Gaspers 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6752,Modelling Concurrent Systems,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6752/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course tries to make students familiar with state-of-the-art  techniques in modelling concurrent systems. This is done by comparing  some of the more successful models of concurrency found in the  literature. The focus will be on the rationale behind the design  decisions underlying those models, viewed from philosophical,  mathematical and computational perspectives. The course contains  important background knowledge for students aiming at a scientific  career in which the design of mathematical models of system behaviour is  a component.Topics chosen from: semantic models of  concurrent and distributed systems e.g. process algebra, event  structures, Petri nets, Chu spaces, operational and denotational  semantics, semantic equivalences and implementation relations, linear  versus branching time, interleaving versus partial order semantics, true  concurrency, algorithms for equivalence checking and their complexity,  modal and temporal logic for concurrent systems.",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP6752.html,arrangement:T2:School Office 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6771,Advanced C++ Programming,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6771/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course introduces the fundamentals and advanced techniques of object-oriented programming in C++.Object-oriented inheritance techniques. Advanced techniques with functions. Memory and resource management. Namespaces. Run time type information. Templates and generic programming. C++ Template metaprogramming. The Standard Template Library e.g., algorithms, containers and iterators. Input/Output with C++ iostreams library. Exception handling. C++ and Efficiency issues. Effective C++ design guidelines.",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP6771.html,arrangement:T2:Mr HC Smith 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6841,Extended Security Engineering and Cyber Security,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6841/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Introduction to computer security, cybercrime, and cyberterror. The principles of engineering secure systems. How to think like a security engineer.Engineering secure systems. How security fails. Security analysis and design. Private and public cryptographic protocols. Introduction to information security: Confidentiality, Integrity, Authentication, Non-repudiation, hashing, signatures, bits of security. Physical security, social engineering, sniffing, intrusion detection, prevention and response, firewalls, honeypots. Overview of vulnerabilities and exploits including areas such as buffer overflow, inter overflow, heap attacks, Return-Oriented-Programming, heap attacks. Principles of risk and security. Case studies drawn from the history of hacking and from current events.Additional topics drawn from recent developments and current research in applied computer security.There are numerous formative assessments and activities throughout the course to provide feedback and learning opportunities. These do not directly contribute to your final grade but are expected to be used to provide evidence of your capabilities in your portfolio.A programming background is required , especially for the more applied topics. Students need a keen devious and analytical mind. To get the most from this course students will need to engage in independent study and research and be able to act as independent self-directed learners.This is the extended version of COMP6441. In addition to the COMP6441 material above, this course includes coverage of reversing x86 machine code into C/C++ and an introduction to malware decomposition and analysisNote: This course requires knowledge of C programming",Faculty of Engineering,School of Computer Science and Engineering,Term 2,http://timetable.unsw.edu.au/2019/COMP6841.html,arrangement:T2:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6843,Extended Web Application Security and Testing,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6843/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"Web applications are currently the predominant source of software vulnerabilities exploited in in online attacks. There is a growing need and growing demand for web programmers to be security aware.This course covers the main types of web application vulnerabilities and current best practice professional coding and testing practices to be able to successfully develop secure web applications.The course covers OWASP vulnerabilities cross site scripting browser security model and weaknesses Injection attacks DNS Man in the middle Data leakage Spoofing UI and Social vulnerabilities Assurance and Testing Standards. Course coverage will be constantly updated over time to reflect emerging vulnerabilities and practices.There are numerous formative assessments and activities throughout the course to provide feedback and learning opportunities. These do not directly contribute to your final grade but are expected to be used to provide evidence of your capabilities in your portfolio.A programming background is required. Students also need a keen devious and analytical mind. To get the most from this course students will need to engage in independent study and research and be able to act as independent self directed learners.This is the extended version of COMP6443. This course includes the material of COMP6443 plus penetration testing, and red teaming. Students will work in teams to conduct penetration tests and report on them to real and simulated clients.",Faculty of Engineering,School of Computer Science and Engineering,Term 1,http://timetable.unsw.edu.au/2019/COMP6843.html,arrangement:T1:Prof RJ Buckland 
Information Technology,"The study or use of computer and telecommunication systems for processing, storing, and transmitting information.",https://www.handbook.unsw.edu.au/InformationTechnology/browse?interest_value=cd74ce13db96df002e4c126b3a96194f,Postgraduate,COMP6845,Extended Digital Forensics and Incident Response,6 UOC,https://www.handbook.unsw.edu.au/Postgraduate/courses/2019/COMP6845/?browseByInterest=cd74ce13db96df002e4c126b3a96194f&,"This course addresses the skills and knowledge needed by first responders to a discovered cyber breech, as well as law enforcement and criminal justice.This course covers both forensic theory / professional practice, and looking at the underlying engineering of hiding, finding, interpreting and responding to traces. Students will use of standard forensic tools to extract carve and analyse data as well as learning the low level technical skills and knowledge underlying them. By the end of the course students should be able to write and analyse simple forensic tools as well as being able to use them.The course covers Memory Forensics, Disc Forensics Network, Device Forensics, Stealth Techniques, Anti-forensics, Professional Forensic Practice, chain of custody, records etc, Logging. Course coverage will be constantly updated over time to reflect emerging forensic practice and methods.This is the extended version of COMP6445. This course includes the material of COMP6445 plus malware analysis and incident response.",Faculty of Engineering,School of Computer Science and Engineering,Term 3,http://timetable.unsw.edu.au/2019/COMP6845.html,arrangement:T3:Prof RJ Buckland 
